Switch,Output,Freq,Ref,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,100,100,26,0x002007B0,0x013B13B1,0x06915552,0x00000003,0x3400A784,0x00800025,0x35C34476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
2,144.1,144.1,26,0x00200580,0x0AD4AD41,0xAD4BFFF2,0x00000003,0x3400A784,0x00800025,0x35A48476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
3,432.1,432.1,26,0x00200420,0x07A17A11,0x7A17FFF2,0x00000003,0x3400A784,0x00800025,0x35660476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
4,1296.1,1296.1,26,0x00200630,0x0B333331,0x3337FFF2,0x00000003,0x3400A784,0x00800025,0x35440476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
5,2320.1,2320.1,26,0x00200590,0x03C0FC01,0x54055552,0x00000003,0x3400A784,0x00800025,0x35248476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
6,2400.1,2400.1,26,0x002005C0,0x04FC0FC1,0x05415552,0x00000003,0x3400A784,0x00800025,0x35246476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
7,3400.1,3400.1,26,0x00200410,0x062F42F1,0x42F7FFF2,0x00000003,0x3400A784,0x00800025,0x35062476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
8,5760.1,5760.1,26,0x002006E0,0x0C56A561,0xA56BFFF2,0x00000003,0x3400A784,0x00800025,0x3503A476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
9,10368.1,10368.1,26,0x00200630,0x0B17A171,0xA17BFFF2,0x00000003,0x3400A784,0x00800025,0x35040036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
10,24048.1,8016.033,26,0x002004D0,0x013C63C1,0x00C80812,0x00000003,0x3400A784,0x00800025,0x35054036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
11,47088.1,9417.62,26,0x002005A0,0x08DD5761,0xF107FFF2,0x00000003,0x3400A784,0x00800025,0x35046036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
